Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
1,Sofia Boutella,"April 3, 1982",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",1 win & 2 nominations,Kingsman: The Secret Service (2014),"Bab El Oued, Algeria"
2,Ed Skrein,"March 29, 1983",6′ 1″ (1.85 m),"['Actor', 'Director', 'Writer']",2 wins & 2 nominations,Deadpool (2016),"Camden, London, England, UK"
3,Barry Keoghan,"October 18, 1992",5′ 8″ (1.73 m),['Actor'],11 wins & 76 nominations total,The Killing of a Sacred Deer (2017),"Dublin, Ireland"
4,Serinda Swan,"July 11, 1984",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Director']",2 nominations,Coroner (2019–2022),"West Vancouver, British Columbia, Canada"
5,Alan Ritchson,"November 28, 1982",6′ 3″ (1.91 m),"['Actor', 'Producer', 'Director']",3 wins & 3 nominations,Teenage Mutant Ninja Turtles (2014),"Grand Forks, North Dakota, USA"
6,Lee Sun-kyun,"March 2, 1975",5′ 11¼″ (1.81 m),"['Actor', 'Manager']",8 wins & 5 nominations,Parasite (2019),"Seoul, South Korea"
7,Taylor Momsen,"July 26, 1993",5′ 8″ (1.73 m),"['Actress', 'Director', 'Composer']",1 win & 9 nominations,How the Grinch Stole Christmas (2000),"St. Louis, Missouri, USA"
8,Sydney Sweeney,"September 12, 1997",5′ 3½″ (1.61 m),"['Actress', 'Producer']",4 wins & 17 nominations total,Euphoria (2019–2025),"Spokane, Washington, USA"
9,Jessica Parker Kennedy,"October 3, 1984",5′ 2″ (1.57 m),['Actress'],1 win,The Flash (2018–2023),"Calgary, Alberta, Canada"
10,Staz Nair,"June 17, 1991",6′ 1″ (1.85 m),"['Actor', 'Soundtrack']",1 win & 3 nominations,Rebel Moon: Part One - A Child of Fire (2023),"London, England, UK"
11,Emerald Fennell,"October 1, 1985",,"['Actress', 'Writer', 'Producer']",56 wins & 93 nominations total,Promising Young Woman (2020),"Hammersmith, London, England, UK"
12,Timothée Chalamet,"December 27, 1995",5′ 10″ (1.78 m),"['Actor', 'Producer', 'Soundtrack']",41 wins & 100 nominations total,Call Me by Your Name (2017),"New York City, New York, USA"
13,Jacob Elordi,"June 26, 1997",6′ 5″ (1.96 m),"['Actor', 'Writer', 'Producer']",2 wins & 3 nominations,The Kissing Booth (2018),"Brisbane, Australia"
14,Charlie Hunnam,"April 10, 1980",6′ (1.83 m),"['Actor', 'Producer', 'Writer']",3 wins & 5 nominations,Sons of Anarchy (2008–2014),"Newcastle upon Tyne, Tyne and Wear, England, UK"
15,Michiel Huisman,"July 18, 1981",6′ 0¾″ (1.85 m),"['Actor', 'Soundtrack']",3 wins & 10 nominations,The Age of Adaline (2015),"Amstelveen, Noord-Holland, Netherlands"
16,Michelle Monaghan,"March 23, 1976",5′ 7″ (1.70 m),"['Actress', 'Producer']",3 wins & 8 nominations,Gone Baby Gone (2007),"Winthrop, Iowa, USA"
17,Carey Mulligan,"May 28, 1985",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Costume and Wardrobe Department']",80 wins & 137 nominations total,Never Let Me Go (2010),"Westminster, London, England, UK"
18,Willa Fitzgerald,"January 17, 1991",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",4 nominations,Scream: The TV Series (2015–2016),"Nashville, Tennessee, USA"
19,Macaulay Culkin,"August 26, 1980",5′ 7″ (1.70 m),"['Actor', 'Producer', 'Director']",5 wins & 8 nominations,Home Alone (1990),"New York City, New York, USA"
20,Nicolette Scorsese,"January 6, 1954",,['Actress'],,National Lampoon's Christmas Vacation (1989),
21,Margot Robbie,"July 2, 1990",5′ 6″ (1.68 m),"['Actress', 'Producer', 'Executive']",24 wins & 151 nominations total,Suicide Squad (2016),"Dalby, Queensland, Australia"
22,Alison Oliver,"June 3, 1997",5′ 7″ (1.70 m),['Actress'],2 nominations,Saltburn (2023),"Ballintemple, Cork, Ireland"
23,Julia Roberts,"October 28, 1967",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",61 wins & 115 nominations total,Pretty Woman (1990),"Smyrna, Georgia, USA"
24,Beverly D'Angelo,"November 15, 1951",5′ 2″ (1.57 m),"['Actress', 'Producer', 'Soundtrack']",1 win & 5 nominations total,Vacation (1983),"Columbus, Ohio, USA"
25,Peter Billingsley,"April 16, 1971",5′ 9½″ (1.77 m),"['Producer', 'Actor', 'Director']",1 win & 6 nominations total,A Christmas Story (1983),"New York City, New York, USA"
26,Bae Doona,"October 11, 1979",5′ 7¼″ (1.71 m),['Actress'],9 wins & 22 nominations,Cloud Atlas (2012),"Seoul, South Korea"
27,Zack Snyder,"March 1, 1966",5′ 7″ (1.70 m),"['Director', 'Producer', 'Writer']",6 wins & 18 nominations,300 (2006),"Green Bay, Wisconsin, USA"
28,Melinda Dillon,"October 13, 1939",5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",4 wins & 10 nominations total,Magnolia (1999),"Hope, Arkansas, USA"
29,Donna Reed,"January 27, 1921",5′ 3½″ (1.61 m),"['Actress', 'Soundtrack']",5 wins & 9 nominations total,It's a Wonderful Life (1946),"Denison, Iowa, USA"
30,Florence Pugh,"January 3, 1996",5′ 3¾″ (1.62 m),"['Actress', 'Producer', 'Soundtrack']",40 wins & 95 nominations total,The Falling (2014),"Oxford, Oxfordshire, England, UK"
31,Jena Malone,"November 21, 1984",5′ 5¾″ (1.67 m),"['Actress', 'Producer', 'Music Department']",13 wins & 22 nominations,The Neon Demon (2016),"Sparks, Nevada, USA"
32,Vera-Ellen,"February 16, 1921",5′ 4″ (1.63 m),"['Actress', 'Soundtrack']",1 win,White Christmas (1954),"Norwood, Ohio, USA"
33,Thomas Brodie-Sangster,"May 16, 1990",5′ 10½″ (1.79 m),"['Actor', 'Producer', 'Soundtrack']",4 wins & 12 nominations total,Maze Runner: The Scorch Trials (2015),"London, England, UK"
34,Millie Gibson,"June 19, 2004",5′ 2″ (1.57 m),['Actress'],,Doctor Who (2023–2025),UK
35,Glen Powell,"October 21, 1988",6′ (1.83 m),"['Actor', 'Producer', 'Writer']",3 wins & 4 nominations,Hidden Figures (2016),"Austin, Texas, USA"
36,Juno Temple,"July 21, 1989",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",6 wins & 22 nominations total,Atonement (2007),"London, England, UK"
37,Rosamund Pike,"January 27, 1979",5′ 8½″ (1.74 m),"['Actress', 'Producer', 'Soundtrack']",35 wins & 68 nominations total,Gone Girl (2014),"Hammersmith, London, England, UK"
38,Rachel Zegler,"May 3, 2001",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",4 wins & 18 nominations,West Side Story (2021),"Hackensack, New Jersey, USA"
39,Emma Stone,"November 6, 1988",5′ 6″ (1.68 m),"['Actress', 'Producer', 'Soundtrack']",82 wins & 214 nominations total,La La Land (2016),"Scottsdale, Arizona, USA"
40,Juliette Lewis,"June 21, 1973",5′ 6″ (1.68 m),"['Actress', 'Director', 'Producer']",13 wins & 32 nominations total,Natural Born Killers (1994),"Los Angeles, California, USA"
41,Virginia Kull,October 5,5′ 5¾″ (1.67 m),['Actress'],,Big Little Lies (2017– ),"Dallas, Texas, USA"
42,Cleopatra Coleman,"October 29, 1987",5′ 5″ (1.65 m),"['Actress', 'Writer', 'Producer']",,Infinity Pool (2023),"Byron Bay, New South Wales, Australia"
43,Fra Fee,"May 20, 1987",,"['Actor', 'Soundtrack']",,Hawkeye (2021– ),"Dungannon, County Tyrone, Northern Ireland, UK"
44,Alexandra Daddario,"March 16, 1986",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",2 wins & 8 nominations total,Baywatch (2017),"New York City, New York, USA"
45,Shelley Hennig,"January 2, 1987",5′ 8″ (1.73 m),['Actress'],1 win & 4 nominations,Unfriended (2014),"Destrehan, Louisiana, USA"
46,Nicolas Cage,"January 7, 1964",6′ (1.83 m),"['Actor', 'Producer', 'Director']",64 wins & 113 nominations total,Face/Off (1997),"Long Beach, California, USA"
47,Heike Makatsch,"August 13, 1971",5′ 6½″ (1.69 m),"['Actress', 'Writer', 'Soundtrack']",17 wins & 9 nominations,Love Actually (2003),"Düsseldorf, North Rhine-Westphalia, Germany"
48,Ellen Latzen,"July 26, 1980",5′ 2″ (1.57 m),['Actress'],,Fatal Attraction (1987),USA
49,Tom Blyth,"February 2, 1995",6′ (1.83 m),"['Actor', 'Producer']",,Billy the Kid (2022–2024),"Birmingham, England, UK"
50,Myha'la,"April 6, 1996",5′ 1″ (1.55 m),['Actress'],,Industry (2020–2022),"California, USA"
51,Walker Scobell,"January 5, 2009",5′ 7″ (1.70 m),['Actor'],1 nomination,The Adam Project (2022),"Virginia Beach, Virginia, USA"
52,Hannah Waddingham,"July 28, 1974",5′ 10¾″ (1.80 m),"['Actress', 'Producer', 'Soundtrack']",11 wins & 20 nominations total,Ted Lasso (2020–2023),"London, England, UK"
53,Tom Cruise,"July 3, 1962",5′ 7″ (1.70 m),"['Actor', 'Producer', 'Director']",59 wins & 112 nominations total,Top Gun (1986),"Syracuse, New York, USA"
54,Bradley Cooper,"January 5, 1975",6′ 1″ (1.85 m),"['Actor', 'Producer', 'Director']",68 wins & 252 nominations total,A Star Is Born (2018),"Philadelphia, Pennsylvania, USA"
55,Archie Madekwe,"February 10, 1995",6′ 5″ (1.96 m),"['Actor', 'Soundtrack']",2 nominations,Gran Turismo (2023),"Lambeth, London, England, UK"
56,Anya Taylor-Joy,"April 16, 1996",5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",19 wins & 45 nominations total,The Queen's Gambit (2020– ),"Miami, Florida, USA"
57,Hayley Atwell,"April 5, 1982",5′ 6½″ (1.69 m),"['Actress', 'Soundtrack']",15 nominations,Captain America: The First Avenger (2011),"London, England, UK"
58,Jeremy Allen White,"February 17, 1991",5′ 7″ (1.70 m),"['Actor', 'Writer', 'Producer']",5 wins & 16 nominations total,Shameless (2011–2021),"Brooklyn, New York, USA"
59,Mary Elizabeth Winstead,"November 28, 1984",5′ 8″ (1.73 m),"['Actress', 'Producer', 'Soundtrack']",4 wins & 24 nominations,10 Cloverfield Lane (2016),"Rocky Mount, North Carolina, USA"
60,Djimon Hounsou,"April 24, 1964",6′ 1½″ (1.87 m),"['Actor', 'Producer', 'Director']",16 wins & 21 nominations total,Blood Diamond (2006),"Cotonou, Benin"
61,Jennifer Lawrence,"August 15, 1990",5′ 9″ (1.75 m),"['Actress', 'Producer', 'Writer']",121 wins & 194 nominations total,The Hunger Games (2012),"Louisville, Kentucky, USA"
62,Leonardo DiCaprio,"November 11, 1974",6′ (1.83 m),"['Producer', 'Actor', 'Writer']",103 wins & 273 nominations total,Inception (2010),"Hollywood, Los Angeles, California, USA"
63,James Stewart,"May 20, 1908",6′ 3″ (1.91 m),"['Actor', 'Director', 'Producer']",31 wins & 21 nominations total,Vertigo (1958),"Indiana, Pennsylvania, USA"
64,Abigail Spencer,"August 4, 1981",5′ 6″ (1.68 m),"['Actress', 'Producer', 'Writer']",2 wins & 4 nominations,Mad Men (2009– ),"Gulf Breeze, Florida, USA"
65,Zooey Deschanel,"January 17, 1980",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Music Department']",7 wins & 37 nominations total,New Girl (2011–2018),"Los Angeles, California, USA"
66,Alison Brie,"December 29, 1982",5′ 4″ (1.63 m),"['Actress', 'Producer', 'Writer']",8 wins & 27 nominations,GLOW (2017–2019),"Hollywood, Los Angeles, California, USA"
67,Karen Allen,"October 5, 1951",5′ 5″ (1.65 m),"['Actress', 'Director', 'Soundtrack']",12 wins & 6 nominations,Raiders of the Lost Ark (1981),"Carrollton, Illinois, USA"
68,Harris Dickinson,"June 24, 1996",6′ 2″ (1.88 m),"['Actor', 'Director', 'Writer']",3 wins & 13 nominations total,Beach Rats (2017),"Leytonstone, Essex, England, UK"
69,Mara Wilson,"July 24, 1987",5′ 0½″ (1.54 m),"['Actress', 'Writer', 'Director']",3 wins & 6 nominations,Matilda (1996),"Los Angeles, California, USA"
70,Jenna Ortega,"September 27, 2002",5′ 1″ (1.55 m),"['Actress', 'Producer', 'Soundtrack']",8 wins & 22 nominations total,Scream (2022),"Coachella Valley, California, USA"
71,Olivia Cooke,"December 27, 1993",5′ 5½″ (1.66 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 18 nominations,Ready Player One (2018),"Oldham, Greater Manchester, England, UK"
72,Catherine O'Hara,"March 4, 1954",5′ 4″ (1.63 m),"['Actress', 'Writer', 'Producer']",33 wins & 42 nominations total,A Mighty Wind (2003),"Toronto, Ontario, Canada"
73,Mark Wahlberg,"June 5, 1971",5′ 8″ (1.73 m),"['Producer', 'Actor', 'Composer']",24 wins & 83 nominations total,The Fighter (2010),"Dorchester, Boston, Massachusetts, USA"
74,Gary Oldman,"March 21, 1958",5′ 8½″ (1.74 m),"['Actor', 'Producer', 'Director']",64 wins & 103 nominations total,Tinker Tailor Soldier Spy (2011),"New Cross, London, England, UK"
75,Phoebe Waller-Bridge,"July 14, 1985",5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Writer']",33 wins & 38 nominations total,Solo: A Star Wars Story (2018),"London, England, UK"
76,Alan Rickman,"February 21, 1946",6′ 1″ (1.85 m),"['Actor', 'Writer', 'Director']",19 wins & 38 nominations total,Die Hard (1988),"Hammersmith, London, England, UK"
77,Bruce Willis,"March 19, 1955",5′ 11½″ (1.82 m),"['Actor', 'Producer', 'Writer']",22 wins & 54 nominations total,Die Hard (1988),"Idar-Oberstein, West Germany"
78,Lily James,"April 5, 1989",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 16 nominations total,Cinderella (2015),"Esher, Surrey, England, UK"
79,Vanessa Kirby,"April 18, 1988",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 46 nominations total,The Crown (2016–2022),"London, England, UK"
80,Maria Sten,October 29,5′ 10″ (1.78 m),"['Actress', 'Writer', 'Producer']",,Reacher (2022–2024),"Copenhagen, Denmark"
81,Anita Dobson,"April 29, 1949",5′ 3″ (1.60 m),['Actress'],,Red Dwarf (1993– ),"Stepney, London, England, UK"
82,Rebecca Ferguson,"October 19, 1983",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Soundtrack']",9 wins & 20 nominations,The Greatest Showman (2017),Sweden
83,Rosemary Clooney,"May 23, 1928",5′ 6″ (1.68 m),"['Actress', 'Writer', 'Music Department']",1 win & 3 nominations total,White Christmas (1954),"Maysville, Kentucky, USA"
84,Tom Hanks,"July 9, 1956",6′ (1.83 m),"['Producer', 'Actor', 'Writer']",96 wins & 209 nominations total,Cast Away (2000),"Concord, California, USA"
85,Amber Heard,"April 22, 1986",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']",4 wins & 5 nominations,Aquaman (2018),"Austin, Texas, USA"
86,Ana de Armas,"April 30, 1988",5′ 6¼″ (1.68 m),"['Actress', 'Producer']",11 wins & 34 nominations total,Blade Runner 2049 (2017),"Havana, Cuba"
87,Jennifer Connelly,"December 12, 1970",5′ 6½″ (1.69 m),"['Actress', 'Producer']",16 wins & 29 nominations total,A Beautiful Mind (2001),"Cairo, New York, USA"
88,Keira Knightley,"March 26, 1985",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Camera and Electrical Department']",28 wins & 109 nominations total,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Teddington, Middlesex, England, UK"
89,Christine Baranski,"May 2, 1952",5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Soundtrack']",18 wins & 78 nominations total,Mamma Mia! (2008),"Buffalo, New York, USA"
90,Ncuti Gatwa,"October 15, 1992",,['Actor'],4 wins & 16 nominations total,Sex Education (2019–2023),"Nyarugenge, Kigali, Rwanda"
91,Elizabeth Perkins,"November 18, 1960",5′ 8″ (1.73 m),"['Actress', 'Producer']",1 win & 20 nominations total,Sharp Objects (2018– ),"Queens, New York City, New York, USA"
92,Bonnie Bedelia,"March 25, 1948",5′ 4″ (1.63 m),"['Actress', 'Soundtrack']",3 wins & 5 nominations total,Die Hard (1988),"New York City, New York, USA"
93,Ryan Gosling,"November 12, 1980",6′ 0½″ (1.84 m),"['Actor', 'Producer', 'Director']",43 wins & 193 nominations total,Blue Valentine (2010),"London, Ontario, Canada"
94,Jennifer Jason Leigh,"February 5, 1962",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Writer']",29 wins & 70 nominations total,The Hateful Eight (2015),"Hollywood, Los Angeles, California, USA"
95,Harrison Ford,"July 13, 1942",6′ 1″ (1.85 m),"['Actor', 'Writer', 'Producer']",45 wins & 58 nominations total,Raiders of the Lost Ark (1981),"Chicago, Illinois, USA"
96,Kristin Minter,"November 22, 1965",5′ 8″ (1.73 m),['Actress'],1 nomination,ER (1995–2003),"Miami, Florida, USA"
97,Zac Efron,"October 18, 1987",5′ 8″ (1.73 m),"['Actor', 'Producer', 'Soundtrack']",35 wins & 44 nominations,17 Again (2009),"San Luis Obispo, California, USA"
98,Emma Corrin,"December 13, 1995",5′ 8″ (1.73 m),"['Actress', 'Music Department', 'Soundtrack']",10 wins & 10 nominations total,Lady Chatterley's Lover (2022),"Royal Tunbridge Wells, Kent, England, UK"
99,Kelly Reilly,"July 18, 1977",5′ 6″ (1.68 m),"['Actress', 'Producer']",7 wins & 12 nominations,Pride & Prejudice (2005),"Surrey, England, UK"
100,Kamar de los Reyes,"November 8, 1967",5′ 10″ (1.78 m),"['Actor', 'Writer', 'Producer']",1 win & 6 nominations,Sleepy Hollow (2017– ),"San Juan, Puerto Rico"
